rank,drug,score
1,Compound::DB00446,18.122448
2,Compound::DB09235,17.140938
3,Compound::DB12518,16.258865
4,Compound::DB09042,16.153694
5,Compound::DB01590,15.8739605
6,Compound::DB01591,15.8043585
7,Compound::DB00912,15.757977
8,Compound::DB01144,15.744793
9,Compound::DB00374,15.710096
10,Compound::DB13955,15.608527
11,Compound::DB00562,15.499275
12,Compound::DB00669,15.418424
13,Compound::DB01411,15.244236
14,Compound::DB09080,15.221987
15,Compound::DB00346,15.07198
16,Compound::DB08828,15.006698
17,Compound::DB00731,14.922701
18,Compound::DB04946,14.80391
19,Compound::DB01396,14.795835
20,Compound::DB04895,14.774998
21,Compound::DB00604,14.766698
22,Compound::DB00444,14.616778
23,Compound::DB00426,14.605191
24,Compound::DB08996,14.569504
25,Compound::DB00626,14.54702
26,Compound::DB01128,14.511347
27,Compound::DB08861,14.47954
28,Compound::DB00576,14.438532
29,Compound::DB00980,14.427412
30,Compound::DB04557,14.373101
31,Compound::DB00068,14.349708
32,Compound::DB00682,14.306005
33,Compound::DB00623,14.300465
34,Compound::DB00519,14.296087
35,Compound::DB01030,14.296086
36,Compound::DB09216,14.244801
37,Compound::DB00692,14.226917
38,Compound::DB06718,14.221747
39,Compound::DB00549,14.147902
40,Compound::DB01610,14.136126
41,Compound::DB01131,14.097006
42,Compound::DB00480,14.068671
43,Compound::DB06011,14.049839
44,Compound::DB00029,14.045191
45,Compound::DB09288,14.019901
46,Compound::DB00476,13.994555
47,Compound::DB00598,13.983688
48,Compound::DB00842,13.974973
49,Compound::DB09061,13.881948
50,Compound::DB01132,13.869147
51,Compound::DB05271,13.838972
52,Compound::DB00805,13.827808
53,Compound::DB00294,13.814636
54,Compound::DB01392,13.77473
55,Compound::DB04898,13.761724
56,Compound::DB04842,13.743277
57,Compound::DB00665,13.722442
58,Compound::DB09317,13.708924
59,Compound::DB00628,13.655056
60,Compound::DB00743,13.6442795
61,Compound::DB01623,13.640459
62,Compound::DB08871,13.637155
63,Compound::DB00197,13.636902
64,Compound::DB06803,13.608652
65,Compound::DB00716,13.593245
66,Compound::DB08962,13.59041
67,Compound::DB00621,13.581165
68,Compound::DB09265,13.543153
69,Compound::DB04878,13.51461
70,Compound::DB00402,13.501738
71,Compound::DB06684,13.439169
72,Compound::DB09135,13.431791
73,Compound::DB01251,13.431501
74,Compound::DB00487,13.415378
75,Compound::DB00203,13.40657
76,Compound::DB01555,13.394743
77,Compound::DB01369,13.378849
78,Compound::DB01101,13.367804
79,Compound::DB11191,13.367604
80,Compound::DB12713,13.294878
81,Compound::DB06150,13.286531
82,Compound::DB13246,13.270557
83,Compound::DB11338,13.260804
84,Compound::DB00806,13.228358
85,Compound::DB13156,13.216843
86,Compound::DB08860,13.203652
87,Compound::DB01587,13.203588
88,Compound::DB00465,13.191328
89,Compound::DB01161,13.190229
90,Compound::DB08880,13.186785
91,Compound::DB00588,13.186008
92,Compound::DB00502,13.182168
93,Compound::DB01589,13.161188
94,Compound::DB00631,13.140305
95,Compound::DB09201,13.134897
96,Compound::DB01255,13.107985
97,Compound::DB00518,13.089001
98,Compound::DB09020,13.03491
99,Compound::DB00495,13.025977
100,Compound::DB09198,13.015314
