rank,drug,score
1,Compound::DB03495,21.847336
2,Compound::DB08274,16.663734
3,Compound::DB14878,13.730529
4,Compound::DB05200,12.764223
5,Compound::DB07874,12.393473
6,Compound::DB12644,12.373798
7,Compound::DB07788,11.657635
8,Compound::DB12858,11.584344
9,Compound::DB12535,11.353681
10,Compound::DB06061,11.211384
11,Compound::DB15241,11.204759
12,Compound::DB08087,11.202761
13,Compound::DB04683,11.116995
14,Compound::DB07738,11.099609
15,Compound::DB11923,10.947145
16,Compound::DB07602,10.9149065
17,Compound::DB14726,10.853481
18,Compound::DB12588,10.834917
19,Compound::DB12572,10.676836
20,Compound::DB08219,10.616945
21,Compound::DB12012,10.549916
22,Compound::DB11801,10.496554
23,Compound::DB01584,10.41228
24,Compound::DB03461,10.402672
25,Compound::DB12601,10.383192
26,Compound::DB07700,10.362701
27,Compound::DB06447,10.353201
28,Compound::DB13632,10.345551
29,Compound::DB12113,10.27804
30,Compound::DB07318,10.162028
31,Compound::DB12714,10.104013
32,Compound::DB03837,10.076912
33,Compound::DB05399,10.060949
34,Compound::DB08436,9.941128
35,Compound::DB12635,9.932551
36,Compound::DB11867,9.929871
37,Compound::DB12398,9.925704
38,Compound::DB07675,9.841055
39,Compound::DB08564,9.756823
40,Compound::DB12550,9.715343
41,Compound::DB05849,9.691486
42,Compound::DB07794,9.672501
43,Compound::DB12720,9.640588
44,Compound::DB12690,9.603445
45,Compound::DB13967,9.595262
46,Compound::DB15093,9.588154
47,Compound::DB12933,9.491601
48,Compound::DB12914,9.4371395
49,Compound::DB01657,9.300256
50,Compound::DB05738,9.289065
51,Compound::DB15112,9.273025
52,Compound::DB12009,9.228062
53,Compound::DB02992,9.222866
54,Compound::DB12830,9.193719
55,Compound::DB15483,9.190773
56,Compound::DB12270,9.161908
57,Compound::DB06989,9.161343
58,Compound::DB11706,9.149597
59,Compound::DB12415,9.137818
60,Compound::DB03948,9.10502
61,Compound::DB03451,9.044857
62,Compound::DB02081,9.004087
63,Compound::DB03934,8.995348
64,Compound::DB14887,8.976876
65,Compound::DB14256,8.967527
66,Compound::DB07717,8.965492
67,Compound::DB11962,8.952659
68,Compound::DB07149,8.937064
69,Compound::DB06983,8.92547
70,Compound::DB12297,8.802177
71,Compound::DB12732,8.787098
72,Compound::DB12088,8.755935
73,Compound::DB12255,8.736541
74,Compound::DB07721,8.732864
75,Compound::DB11666,8.715942
76,Compound::DB14060,8.701265
77,Compound::DB12129,8.6908455
78,Compound::DB14813,8.687976
79,Compound::DB01375,8.686832
80,Compound::DB04137,8.685389
81,Compound::DB12744,8.679759
82,Compound::DB02861,8.6614685
83,Compound::DB12367,8.640171
84,Compound::DB13072,8.600857
85,Compound::DB11836,8.575921
86,Compound::DB12629,8.550901
87,Compound::DB03437,8.529717
88,Compound::DB02016,8.5215
89,Compound::DB14895,8.516038
90,Compound::DB07319,8.503941
91,Compound::DB07389,8.469908
92,Compound::DB06511,8.453332
93,Compound::DB12135,8.446793
94,Compound::DB05241,8.414285
95,Compound::DB14035,8.391104
96,Compound::DB12109,8.377919
97,Compound::DB08011,8.359894
98,Compound::DB06075,8.3546295
99,Compound::DB12988,8.345452
100,Compound::DB14029,8.340619
