rank,drug,score,drug_name
1,Compound::DB03495,21.847336,"4,6-DIDEOXY-4-{[4,5,6-TRIHYDROXY-3-(HYDROXYMETHYL)CYCLOHEX-2-EN-1-YL]AMINO}-ALPHA-D-LYXO-HEXOPYRANOSYL-(1->4)-ALPHA-D-THREO-HEXOPYRANOSYL-(1->6)-ALPHA-L-THREO-HEXOPYRANOSE"
2,Compound::DB08274,16.663734,"6,7,8,9-Tetrahydro-4-hydroxy-3-(1-phenylpropyl)cyclohepta[b]pyran-2-one"
3,Compound::DB14878,13.730529,Liafensine
4,Compound::DB05200,12.764223,unknown
5,Compound::DB07874,12.393473,"(6s)-2-Amino-6-(3'-Methoxybiphenyl-3-Yl)-3,6-Dimethyl-5,6-Dihydropyrimidin-4(3h)-One"
6,Compound::DB12644,12.373798,unknown
7,Compound::DB07788,11.657635,"(3R,5Z,8S,9S,11E)-8,9,16-TRIHYDROXY-14-METHOXY-3-METHYL-3,4,9,10-TETRAHYDRO-1H-2-BENZOXACYCLOTETRADECINE-1,7(8H)-DIONE"
8,Compound::DB12858,11.584344,LY-377604
9,Compound::DB12535,11.353681,AC-430
10,Compound::DB06061,11.211384,AZD8330
11,Compound::DB15241,11.204759,Methylsamidorphan
12,Compound::DB08087,11.202761,"4-[(7r,7as)-7-Hydroxy-1,3-Dioxotetrahydro-1h-Pyrrolo[1,2-C]imidazol-2(3h)-Yl]-1-Naphthonitrile"
13,Compound::DB04683,11.116995,"(2R)-3-{[{[(2S)-2,3-DIHYDROXYPROPYL]OXY}(HYDROXY)PHOSPHORYL]OXY}-2-[(9E)-HEXADEC-9-ENOYLOXY]PROPYL (9E)-OCTADEC-9-ENOATE"
14,Compound::DB07738,11.099609,"N-[1-(5-Bromo-2,3-Dimethoxybenzyl)piperidin-4-Yl]-4-Sulfanylbutanamide"
15,Compound::DB11923,10.947145,Decoglurant
16,Compound::DB07602,10.9149065,S-{3-[(4-ANILINOQUINAZOLIN-6-YL)AMINO]-3-OXOPROPYL}-L-CYSTEINE
17,Compound::DB14726,10.853481,Dabigatran
18,Compound::DB12588,10.834917,AZD1480
19,Compound::DB12572,10.676836,PEXACERFONT
20,Compound::DB08219,10.616945,1059105-22-4
21,Compound::DB12012,10.549916,PF-04457845
22,Compound::DB11801,10.496554,Rapastinel
23,Compound::DB01584,10.41228,unknown
24,Compound::DB03461,10.402672,53-59-8
25,Compound::DB12601,10.383192,Sonolisib
26,Compound::DB07700,10.362701,"3-Carboxamido-1,3,5(10)-Estratrien-17(R)-Spiro-2'(5',5'-Dimethyl-6'oxo)tetrahydropyran"
27,Compound::DB06447,10.353201,162679-36-9
28,Compound::DB13632,10.345551,Protiofate
29,Compound::DB12113,10.27804,CE-224535
30,Compound::DB07318,10.162028,"N-[2-(4-AMINO-5,8-DIFLUORO-1,2-DIHYDROQUINAZOLIN-2-YL)ETHYL]-3-FURAMIDE"
31,Compound::DB12714,10.104013,Nerispirdine
32,Compound::DB03837,10.076912,MORPHOLINE-4-CARBOXYLIC ACID (1-(3-BENZENESULFONYL-1-PHENETHYLALLYLCARBAMOYL)-3-METHYLBUTYL)-AMIDE
33,Compound::DB05399,10.060949,Succinobucol
34,Compound::DB08436,9.941128,"8-BENZO[1,3]DIOXOL-,5-YLMETHYL-9-BUTYL-9H-"
35,Compound::DB12635,9.932551,Aleplasinin
36,Compound::DB11867,9.929871,JNJ-39393406
37,Compound::DB12398,9.925704,NAPROXEN ETEMESIL
38,Compound::DB07675,9.841055,(2S)-2-ETHOXY-3-{4-[2-(10H-PHENOXAZIN-10-YL)ETHOXY]PHENYL}PROPANOIC ACID
39,Compound::DB08564,9.756823,(2e)-N-{4-[(3-Bromophenyl)amino]quinazolin-6-Yl}-4-(Dimethylamino)but-2-Enamide
40,Compound::DB12550,9.715343,Taladegib
41,Compound::DB05849,9.691486,unknown
42,Compound::DB07794,9.672501,865362-74-9
43,Compound::DB12720,9.640588,NIVOCASAN
44,Compound::DB12690,9.603445,1082949-67-4
45,Compound::DB13967,9.595262,Patent Blue
46,Compound::DB15093,9.588154,unknown
47,Compound::DB12933,9.491601,874101-00-5
48,Compound::DB12914,9.4371395,Resmetirom
49,Compound::DB01657,9.300256,"2-Amino-3-[4-Hydroxy-6-Oxo-3-(2-Phenyl-Cyclopropylimino)-Cyclohexa-1,4-Dienyl]-Propionic Acid"
50,Compound::DB05738,9.289065,Vapitadine
51,Compound::DB15112,9.273025,unknown
52,Compound::DB12009,9.228062,unknown
53,Compound::DB02992,9.222866,unknown
54,Compound::DB12830,9.193719,Cebranopadol
55,Compound::DB15483,9.190773,unknown
56,Compound::DB12270,9.161908,Losmapimod
57,Compound::DB06989,9.161343,{4-[2-BENZYL-3-METHOXY-2-(METHOXYCARBONYL)-3-OXOPROPYL]PHENYL}SULFAMIC ACID
58,Compound::DB11706,9.149597,Raxatrigine
59,Compound::DB12415,9.137818,Galeterone
60,Compound::DB03948,9.10502,DB03948
61,Compound::DB03451,9.044857,Lexacalcitol
62,Compound::DB02081,9.004087,BIS-BENZAMIDINE
63,Compound::DB03934,8.995348,Zinc protoporphyrin
64,Compound::DB14887,8.976876,PF-04620110
65,Compound::DB14256,8.967527,unknown
