rank,drug,score
1,Compound::DB01109,-0.07518093
2,Compound::DB01240,-0.08212608
3,Compound::DB00682,-0.089072816
4,Compound::DB09341,-0.10255333
5,Compound::DB00974,-0.104952425
6,Compound::DB00624,-0.114744954
7,Compound::DB12290,-0.11495707
8,Compound::DB01065,-0.12076709
9,Compound::DB00328,-0.12203033
10,Compound::DB00641,-0.1226617
11,Compound::DB00396,-0.12303102
12,Compound::DB04540,-0.12371219
13,Compound::DB00770,-0.1249713
14,Compound::DB00975,-0.13103795
15,Compound::DB00783,-0.13119335
16,Compound::DB00571,-0.13832314
17,Compound::DB00067,-0.13895191
18,Compound::DB00741,-0.13942206
19,Compound::DB00295,-0.13975541
20,Compound::DB04652,-0.14109741
21,Compound::DB00563,-0.14586817
22,Compound::DB01234,-0.14709784
23,Compound::DB12153,-0.14939438
24,Compound::DB11672,-0.1571061
25,Compound::DB00171,-0.15863183
26,Compound::DB00806,-0.15878199
27,Compound::DB02527,-0.15973182
28,Compound::DB00472,-0.15999177
29,Compound::DB00746,-0.16146553
30,Compound::DB00917,-0.1619528
31,Compound::DB13483,-0.16524166
32,Compound::DB01708,-0.16793033
33,Compound::DB00678,-0.17067064
34,Compound::DB01088,-0.17093389
35,Compound::DB01183,-0.17317832
36,Compound::DB06677,-0.17431161
37,Compound::DB04115,-0.17514086
38,Compound::DB01039,-0.1766145
39,Compound::DB00675,-0.17694595
40,Compound::DB00199,-0.17707653
41,Compound::DB01104,-0.17718475
42,Compound::DB12116,-0.17982687
43,Compound::DB04557,-0.18105322
44,Compound::DB00421,-0.18186177
45,Compound::DB00946,-0.18337335
46,Compound::DB00695,-0.18548015
47,Compound::DB12393,-0.18549742
48,Compound::DB00569,-0.18554749
49,Compound::DB00877,-0.18646672
50,Compound::DB01115,-0.18688929
51,Compound::DB00252,-0.18940435
52,Compound::DB04630,-0.19070558
53,Compound::DB15127,-0.1913726
54,Compound::DB00132,-0.1914472
55,Compound::DB12789,-0.1915343
56,Compound::DB08409,-0.19181657
57,Compound::DB12598,-0.19192347
58,Compound::DB00104,-0.19249664
59,Compound::DB00035,-0.19271167
60,Compound::DB00091,-0.19502242
61,Compound::DB00686,-0.19504574
62,Compound::DB06271,-0.19582875
63,Compound::DB00907,-0.19589779
64,Compound::DB00305,-0.19598144
65,Compound::DB00533,-0.1963368
66,Compound::DB00515,-0.1976914
67,Compound::DB01225,-0.19770592
68,Compound::DB00393,-0.19954915
69,Compound::DB00159,-0.20042728
70,Compound::DB01009,-0.20078368
71,Compound::DB13050,-0.20202686
72,Compound::DB01418,-0.20209351
73,Compound::DB00261,-0.2021855
74,Compound::DB00790,-0.20373741
75,Compound::DB00143,-0.20400248
76,Compound::DB00812,-0.2045637
77,Compound::DB00407,-0.20554356
78,Compound::DB00644,-0.20558521
79,Compound::DB00635,-0.21074131
80,Compound::DB00158,-0.21084227
81,Compound::DB00215,-0.21180926
82,Compound::DB00834,-0.21196714
83,Compound::DB01394,-0.21301414
84,Compound::DB00640,-0.21323015
85,Compound::DB00959,-0.21329407
86,Compound::DB00715,-0.21516639
87,Compound::DB11094,-0.21547084
88,Compound::DB00775,-0.21577808
89,Compound::DB00502,-0.21598864
90,Compound::DB00586,-0.21696468
91,Compound::DB12831,-0.21739101
92,Compound::DB06444,-0.2174594
93,Compound::DB00207,-0.21842717
94,Compound::DB00501,-0.21912879
95,Compound::DB00661,-0.21922469
96,Compound::DB00860,-0.22016029
97,Compound::DB00620,-0.22038259
98,Compound::DB13616,-0.2209597
99,Compound::DB11340,-0.2217342
100,Compound::DB02772,-0.2220441
