rank,drug,score,drug_name
1,Compound::DB01109,-0.07518093,Heparin
2,Compound::DB01240,-0.08212608,epoprostenol
3,Compound::DB00682,-0.089072816,warfarin
4,Compound::DB09341,-0.10255333,Glucose
5,Compound::DB00974,-0.104952425,EDTA
6,Compound::DB00624,-0.114744954,testosterone
7,Compound::DB12290,-0.11495707,Puerarin
8,Compound::DB01065,-0.12076709,Melatonin
9,Compound::DB00328,-0.12203033,indomethacin
10,Compound::DB00641,-0.1226617,simvastatin
11,Compound::DB00396,-0.12303102,progesterone
12,Compound::DB04540,-0.12371219,cholesterol
13,Compound::DB00770,-0.1249713,Alprostadil
14,Compound::DB00975,-0.13103795,dipyridamole
15,Compound::DB00783,-0.13119335,estradiol
16,Compound::DB00571,-0.13832314,propranolol
17,Compound::DB00067,-0.13895191,Pituitrin
18,Compound::DB00741,-0.13942206,hydrocortisone
19,Compound::DB00295,-0.13975541,morphine
20,Compound::DB04652,-0.14109741,CORTICOSTERONE
